timestamp,prediction_returns,prediction_price,arima_component,lstm_component
t1,0.005896453840624911,56330.201415075,0.005753222074792159,0.000143231765832752
t2,0.004800568405149401,56600.618400243904,0.006033158349415184,-0.0012325899442657828
t3,0.006508542288269668,56969.0059186441,0.00624143527768348,0.00026710701058618724
t4,0.005654119236196696,57291.11547087571,0.00639639654130426,-0.0007422773051075637
t5,0.006437452684307522,57659.92431595067,0.006511690123856119,-7.423743954859674e-05

# Metrics Summary
# Metrics (Returns Space)
# rmse: 0.002724887752155527
# mae: 0.002247122361536065
# validation_samples: 8
# Metrics (Price Space)
# rmse: 178.64121638473875
# mae: 139.65258160845588
# validation_samples: 8
