timestamp,prediction_returns,prediction_price,arima_component,lstm_component
t1,8.127866658551358e-06,109541.19032895214,8.272098967518853e-07,7.300656761799473e-06
t2,1.9090372874574674e-06,109541.39944716898,-5.391619474342006e-06,7.300656761799473e-06
t3,1.13873402054009e-05,109542.64683235106,4.086683443601427e-06,7.300656761799473e-06
t4,5.990692997002353e-06,109543.30306871832,-1.3099637647971207e-06,7.300656761799473e-06
t5,6.420941750822655e-06,109544.0064398865,-8.797150109768181e-07,7.300656761799473e-06

# Metrics Summary
# Metrics (Returns Space)
# rmse: 0.0004979474307442568
# mae: 0.00030522035477108434
# validation_samples: 181023
# Metrics (Price Space)
# rmse: 145561.92083463413
# mae: 114721.06646154312
# validation_samples: 181023
