timestamp,prediction_returns,prediction_price,arima_component,lstm_component
t1,-1.0229010604152716e-05,109539.17951110973,8.272098967518853e-07,-1.1056220500904601e-05
t2,-1.6447839975246605e-05,109537.37782821411,-5.391619474342006e-06,-1.1056220500904601e-05
t3,-6.969537057303174e-06,109536.61440340019,4.086683443601427e-06,-1.1056220500904601e-05
t4,-1.2366184265701721e-05,109535.25985344264,-1.3099637647971207e-06,-1.1056220500904601e-05
t5,-1.1935935511881418e-05,109533.95244764476,-8.797150109768181e-07,-1.1056220500904601e-05

# Metrics Summary
# Metrics (Returns Space)
# rmse: 0.0004980166187788927
# mae: 0.0003054491974275979
# validation_samples: 181023
# Metrics (Price Space)
# rmse: 72075.04964121021
# mae: 67169.72771015335
# validation_samples: 181023
