timestamp,prediction_returns,prediction_price,arima_component,lstm_component
t1,6.304603124230321e-05,115999.21282895125,8.103387186603285e-06,5.494264405569993e-05
t2,2.105607965895903e-05,116001.65531761695,1.109370388840322e-05,9.962375770555809e-06
t3,3.646383201530485e-05,116005.88518248996,-9.614280048391757e-06,4.607811206369661e-05
t4,6.361452137941657e-05,116013.26484135306,2.209032568505197e-05,4.152419569436461e-05
t5,3.8854776686572104e-05,116017.77251085114,-2.880498176158773e-06,4.1735274862730876e-05

# Metrics Summary
# Metrics (Returns Space)
# rmse: 0.0002367656190011336
# mae: 0.00017418653543063906
# validation_samples: 103
# Metrics (Price Space)
# rmse: 403.273772430843
# mae: 355.56377114311624
# validation_samples: 103
